r	1517	680	5	5	0	0	60s	100	1	3100
r	436	202	5	5	0	0	60s	100	1	3101
r	450	221	5	5	0	0	60s	100	1	3101
r	427	225	5	5	0	0	60s	100	1	3101
r	439	238	5	5	0	0	60s	100	1	3101
r	425	241	5	5	0	0	60s	100	1	3101
r	427	252	5	5	0	0	60s	100	1	3101
r	408	266	5	5	0	0	60s	100	1	3101
r	416	281	5	5	0	0	60s	100	1	3101
r	385	281	5	5	0	0	60s	100	1	3101
r	387	304	5	5	0	0	60s	100	1	3101
r	360	307	5	5	0	0	60s	100	1	3101
r	296	286	5	5	0	0	60s	100	1	3101
r	367	325	5	5	0	0	60s	100	1	3101
r	368	339	5	5	0	0	60s	100	1	3101
r	353	357	5	5	0	0	60s	100	1	3101
r	359	372	5	5	0	0	60s	100	1	3101
r	346	403	5	5	0	0	60s	100	1	3101
r	337	429	5	5	0	0	60s	100	1	3101
r	350	443	5	5	0	0	60s	100	1	3101
r	334	459	5	5	0	0	60s	100	1	3101
r	335	470	5	5	0	0	60s	100	1	3101
r	337	489	5	5	0	0	60s	100	1	3101
r	331	497	5	5	0	0	60s	100	1	3101
r	319	527	5	5	0	0	60s	100	1	3101
r	328	538	5	5	0	0	60s	100	1	3101
r	310	572	5	5	0	0	60s	100	1	3101
r	324	556	5	5	0	0	60s	100	1	3101
r	298	588	5	5	0	0	60s	100	1	3101
r	279	607	5	5	0	0	60s	100	1	3101
r	279	636	5	5	0	0	60s	100	1	3101
r	292	250	5	5	0	0	60s	100	1	3101
r	303	225	5	5	0	0	60s	100	1	3101
r	301	204	5	5	0	0	60s	100	1	3101
r	255	180	5	5	0	0	60s	100	1	3101
r	216	159	5	5	0	0	60s	100	1	3101
r	180	147	5	5	0	0	60s	100	1	3101
r	128	164	5	5	0	0	60s	100	1	3101
r	136	187	5	5	0	0	60s	100	1	3101
r	178	194	5	5	0	0	60s	100	1	3101
r	160	228	5	5	0	0	60s	100	1	3101
r	141	253	5	5	0	0	60s	100	1	3101
r	156	277	5	5	0	0	60s	100	1	3101
r	153	325	5	5	0	0	60s	100	1	3101
r	141	355	5	5	0	0	60s	100	1	3101
r	139	395	5	5	0	0	60s	100	1	3101
r	135	427	5	5	0	0	60s	100	1	3101
r	151	452	5	5	0	0	60s	100	1	3101
r	177	471	5	5	0	0	60s	100	1	3101
r	191	484	5	5	0	0	60s	100	1	3101
r	210	495	5	5	0	0	60s	100	1	3101
r	218	513	5	5	0	0	60s	100	1	3101
r	144	206	5	5	0	0	60s	100	1	3103
r	148	154	5	5	0	0	60s	100	1	3103
r	306	237	5	5	0	0	60s	100	1	3103
r	303	271	5	5	0	0	60s	100	1	3103
r	141	410	5	5	0	0	60s	100	1	3103
r	153	464	5	5	0	0	60s	100	1	3103
r	173	490	5	5	0	0	60s	100	1	3103
r	203	501	5	5	0	0	60s	100	1	3103
