PAWN						S_PAWN						KNIGHT						S_KNIGHT					
초급검	1	15	1.08	도+1	5000 	초급검	1	15	1.104	도+1	3846 	초급검	1 	15 	1.12	도+1	3333 	초급검	1	15	1.32	도+1	1250 
	1	15	1.04	도+2	10000 		1	15	1.052	도+2	7692 		1 	15 	1.06	도+2	6667 		1	15	1.16	도+2	2500 
	1	15	1.2	장검+0	2000 		1	15	1.26	장검+0	1538 		1 	15 	1.3	장검+0	1333 		1	15	1.8	장검+0	500 
	1	15	1.08	장검+1	5000 		1	15	1.104	장검+1	3846 		1 	15 	1.12	장검+1	3333 		1	15	1.32	장검+1	1250 
	1	15	1.04	장검+2	10000 		1	15	1.052	장검+2	7692 		1 	15 	1.06	장검+2	6667 		1	15	1.16	장검+2	2500 
	1	15	1.2	월도+0	2000 		1	15	1.26	월도+0	1538 		1 	15 	1.3	월도+0	1333 		1	15	1.8	월도+0	500 
	1	15	1.08	월도+1	5000 		1	15	1.104	월도+1	3846 		1 	15 	1.12	월도+1	3333 		1	15	1.32	월도+1	1250 
	1	15	1.04	월도+2	10000 		1	15	1.052	월도+2	7692 		1 	15 	1.06	월도+2	6667 		1	15	1.16	월도+2	2500 
	5	15	1.2	세검+0	2000 		5	15	1.26	세검+0	1538 		5 	15 	1.3	세검+0	1333 		5	15	1.8	세검+0	500 
	5	15	1.08	세검+1	5000 		5	15	1.104	세검+1	3846 		5 	15 	1.12	세검+1	3333 		5	15	1.32	세검+1	1250 
	5	15	1.04	세검+2	10000 		5	15	1.052	세검+2	7692 		5 	15 	1.06	세검+2	6667 		5	15	1.16	세검+2	2500 
	5	15	1.1	낭아도+0	4000 		5	15	1.13	낭아도+0	3077 		5 	15 	1.15	낭아도+0	2667 		5	15	1.4	낭아도+0	1000 
	5	15	1.04	낭아도+1	10000 		5	15	1.052	낭아도+1	7692 		5 	15 	1.06	낭아도+1	6667 		5	15	1.16	낭아도+1	2500 
	5	15	1.01	낭아도+2	40000 		5	15	1.013	낭아도+2	30769 		5 	15 	1.015	낭아도+2	26667 		5	15	1.04	낭아도+2	10000 
초급양손검	1	15	1.2	대도+0	2000 	초급양손검	1	15	1.26	대도+0	1538 	초급양손검	1 	15 	1.3	대도+0	1333 	초급양손검	1	15	1.8	대도+0	500 
	1	15	1.08	대도+1	5000 		1	15	1.104	대도+1	3846 		1 	15 	1.12	대도+1	3333 		1	15	1.32	대도+1	1250 
	1	15	1.04	대도+2	10000 		1	15	1.052	대도+2	7692 		1 	15 	1.06	대도+2	6667 		1	15	1.16	대도+2	2500 
	1	15	1.2	장창+0	2000 		1	15	1.26	장창+0	1538 		1 	15 	1.3	장창+0	1333 		1	15	1.8	장창+0	500 
	1	15	1.08	장창+1	5000 		1	15	1.104	장창+1	3846 		1 	15 	1.12	장창+1	3333 		1	15	1.32	장창+1	1250 
	1	15	1.04	장창+2	10000 		1	15	1.052	장창+2	7692 		1 	15 	1.06	장창+2	6667 		1	15	1.16	장창+2	2500 
